category,metric,hour,value
discharge,p25,17,2
discharge,p25,18,3
discharge,p25,19,3
discharge,p25,20,3
discharge,p25,21,3
discharge,p25,22,3
discharge,p25,23,3
discharge,p75,0,5
discharge,p75,1,5
discharge,p75,2,4
discharge,p75,3,3
discharge,p75,4,3
discharge,p75,5,2
discharge,p75,6,2
discharge,p75,7,2
discharge,p75,8,2
discharge,p75,9,2
discharge,p75,10,3
discharge,p75,11,4
discharge,p75,12,4
discharge,p75,13,4
discharge,p75,14,5
discharge,p75,15,5
discharge,p75,16,5
discharge,p75,17,5
discharge,p75,18,5
discharge,p75,19,6
discharge,p75,20,6
discharge,p75,21,6
discharge,p75,22,5
discharge,p75,23,5.75
discharge,p95,0,7
discharge,p95,1,7
discharge,p95,2,6
discharge,p95,3,5
discharge,p95,4,4
discharge,p95,5,4
discharge,p95,6,4
discharge,p95,7,3
discharge,p95,8,3
discharge,p95,9,4
discharge,p95,10,5
discharge,p95,11,6
discharge,p95,12,6
discharge,p95,13,7
discharge,p95,14,7
discharge,p95,15,8
discharge,p95,16,7
discharge,p95,17,7
discharge,p95,18,8
discharge,p95,19,9
discharge,p95,20,8
discharge,p95,21,8
discharge,p95,22,8
discharge,p95,23,8
discharge,stdev,0,2.006987
discharge,stdev,1,1.909769
discharge,stdev,2,1.692953
discharge,stdev,3,1.61602
discharge,stdev,4,1.408007
discharge,stdev,5,1.397559
discharge,stdev,6,1.222209
discharge,stdev,7,1.152563
discharge,stdev,8,1.128342
discharge,stdev,9,1.272369
discharge,stdev,10,1.714989
discharge,stdev,11,1.738631
discharge,stdev,12,1.936533
discharge,stdev,13,2.015049
discharge,stdev,14,2.02572
discharge,stdev,15,2.228924
discharge,stdev,16,2.035557
discharge,stdev,17,1.983561
discharge,stdev,18,2.049175
discharge,stdev,19,2.307481
discharge,stdev,20,2.160309
discharge,stdev,21,2.137808
discharge,stdev,22,2.015049
discharge,stdev,23,2.009248
admit,mean,0,0.590164
admit,mean,1,0.45082
admit,mean,2,0.483607
admit,mean,3,0.439891
admit,mean,4,0.251366
admit,mean,5,0.286885
admit,mean,6,0.245902
admit,mean,7,0.131148
admit,mean,8,0.262295
admit,mean,9,0.311475
admit,mean,10,0.265027
admit,mean,11,0.322404
admit,mean,12,0.234973
admit,mean,13,0.327869
admit,mean,14,0.330601
admit,mean,15,0.437158
admit,mean,16,0.502732
admit,mean,17,0.60929
admit,mean,18,0.483607
admit,mean,19,0.248634
admit,mean,20,0.65847
admit,mean,21,0.68306
admit,mean,22,0.653005
admit,mean,23,0.65847
admit,median,0,0
admit,median,1,0
admit,median,2,0
admit,median,3,0
admit,median,4,0
admit,median,5,0
admit,median,6,0
admit,median,7,0
admit,median,8,0
admit,median,9,0
admit,median,10,0
admit,median,11,0
admit,median,12,0
admit,median,13,0
admit,median,14,0
admit,median,15,0
admit,median,16,0
admit,median,17,0
admit,median,18,0
admit,median,19,0
admit,median,20,0
admit,median,21,0
admit,median,22,0
admit,median,23,0
admit,p25,0,0
admit,p25,1,0
admit,p25,2,0
admit,p25,3,0
admit,p25,4,0
admit,p25,5,0
admit,p25,6,0
admit,p25,7,0
admit,p25,8,0
admit,p25,9,0
admit,p25,10,0
admit,p25,11,0
admit,p25,12,0
admit,p25,13,0
admit,p25,14,0
admit,p25,15,0
admit,p25,16,0
admit,p25,17,0
admit,p25,18,0
admit,p25,19,0
admit,p25,20,0
admit,p25,21,0
admit,p25,22,0
admit,p25,23,0
admit,p75,0,1
admit,p75,1,1
admit,p75,2,1
admit,p75,3,1
admit,p75,4,0
admit,p75,5,0.75
admit,p75,6,0
admit,p75,7,0
admit,p75,8,0
admit,p75,9,1
admit,p75,10,0
admit,p75,11,1
admit,p75,12,0
admit,p75,13,1
admit,p75,14,1
admit,p75,15,1
admit,p75,16,1
admit,p75,17,1
admit,p75,18,1
admit,p75,19,0
admit,p75,20,1
admit,p75,21,1
admit,p75,22,1
admit,p75,23,1
admit,p95,0,2
admit,p95,1,2
admit,p95,2,2
admit,p95,3,2
admit,p95,4,1
admit,p95,5,1
admit,p95,6,1
admit,p95,7,1
admit,p95,8,1
admit,p95,9,1
admit,p95,10,1
admit,p95,11,1
admit,p95,12,1
admit,p95,13,1
admit,p95,14,1
admit,p95,15,2
admit,p95,16,2
admit,p95,17,2
admit,p95,18,2
admit,p95,19,1
admit,p95,20,2
admit,p95,21,2
admit,p95,22,2
admit,p95,23,2
admit,stdev,0,0.73003
admit,stdev,1,0.675632
admit,stdev,2,0.72792
admit,stdev,3,0.654128
admit,stdev,4,0.487865
admit,stdev,5,0.541123
admit,stdev,6,0.490649
admit,stdev,7,0.361522
admit,stdev,8,0.520326
admit,stdev,9,0.579305
admit,stdev,10,0.516289
admit,stdev,11,0.596695
admit,stdev,12,0.479133
admit,stdev,13,0.574947
admit,stdev,14,0.580499
admit,stdev,15,0.641178
admit,stdev,16,0.720535
admit,stdev,17,0.742318
admit,stdev,18,0.656687
admit,stdev,19,0.475061
admit,stdev,20,0.794344
admit,stdev,21,0.845998
admit,stdev,22,0.798855
admit,stdev,23,0.783929
lwbs,mean,0,0.120219
lwbs,mean,1,0.057377
lwbs,mean,2,0.043716
lwbs,mean,3,0.021858
lwbs,mean,4,0.016393
lwbs,mean,5,0
lwbs,mean,6,0.005464
lwbs,mean,7,0.002732
lwbs,mean,8,0.013661
lwbs,mean,9,0.019126
lwbs,mean,10,0.032787
lwbs,mean,11,0.038251
lwbs,mean,12,0.065574
lwbs,mean,13,0.081967
lwbs,mean,14,0.065574
lwbs,mean,15,0.04918
lwbs,mean,16,0.114754
lwbs,mean,17,0.150273
lwbs,mean,18,0.172131
lwbs,mean,19,0.262295
lwbs,mean,20,0.404372
lwbs,mean,21,0.363388
lwbs,mean,22,0.327869
lwbs,mean,23,0.155738
lwbs,median,0,0
lwbs,median,1,0
lwbs,median,2,0
lwbs,median,3,0
lwbs,median,4,0
lwbs,median,5,0
lwbs,median,6,0
lwbs,median,7,0
lwbs,median,8,0
lwbs,median,9,0
lwbs,median,10,0
lwbs,median,11,0
lwbs,median,12,0
lwbs,median,13,0
lwbs,median,14,0
lwbs,median,15,0
lwbs,median,16,0
lwbs,median,17,0
lwbs,median,18,0
lwbs,median,19,0
lwbs,median,20,0
